"Carimbo de data/hora","Qual curso técnico você está fazendo?","Em qual ano do técnico você está?","Qual seu gênero?","Onde e com quem você mora atualmente?","Você possui renda pessoal?","Marque as características que considera possuir:","Um bom empreendimento é definido pelo sucesso rápido. ","Você precisa ter um plano de negócios formal para começar uma empresa.","Só empreende quem tem ideias únicas.","Para um novo empreendedor, não é necessário ter muito dinheiro.","Dividir suas ideias é importante para obter sucesso.","O empreendedor corre riscos sem planejamento."
"2019/04/10 11:15:54 da manhã GMT-3","Técnico em Informática","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Sim","Cautela para tomar decisões;Perfeccionista;Persistência;Comprometimento;Busca por informações;Foco;Organização;Liderança;Autoconfiança","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/10 11:18:40 da manhã GMT-3","Técnico em Informática","3º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Persistência;Liderança;Autoconfiança","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
"2019/04/10 11:19:35 da manhã GMT-3","Técnico em Informática","3º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Perfeccionista;Persistência;Comprometimento;Busca por informações;Foco;Liderança;Autoconfiança","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
"2019/04/10 11:26:33 da manhã GMT-3","Técnico em Informática","3º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/10 11:26:57 da manhã GMT-3","Técnico em Informática","3º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Busca por informações;Liderança;Autoconfiança","Mito","Mito","Mito","Mito","Verdade","Verdade"
"2019/04/10 11:33:25 da manhã GMT-3","Técnico em Química","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Persistência;Comprometimento;Busca por informações","Mito","Verdade","Mito","Verdade","Mito","Verdade"
"2019/04/10 11:36:07 da manhã GMT-3","Técnico em Química","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Perfeccionista","Mito","Verdade","Mito","Verdade","Mito","Verdade"
"2019/04/10 11:38:00 da manhã GMT-3","Técnico em Química","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Persistência;Comprometimento;Foco;Liderança","Mito","Verdade","Mito","Mito","Mito","Mito"
"2019/04/10 11:38:10 da manhã GMT-3","Técnico em Química","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Perfeccionista;Busca por informações;Organização","Mito","Mito","Mito","Mito","Verdade","Verdade"
"2019/04/10 11:39:38 da manhã GMT-3","Técnico em Química","1º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Persistência;Comprometimento;Foco;Autoconfiança","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
